id,no,gubun,group,ideology,party,chosun,hani,news_quality,agree_t1,agree_t2,bias,age,education,gender,valence,media_slant,ideology_discrete,economic_policy,involvement,media_trust,agree_diff,hmp_score
79,220,1,1,4,Hankuk Party,4,3,4,5,4,0,1,3,Male,Conservative-consistent,Conservative Media,Moderate,1,3.5,1,-1,
80,226,1,1,4,Hankuk Party,4,1,6,7,7,-0.2,1,3,Male,Conservative-consistent,Conservative Media,Moderate,1,5.5,4,0,
81,261,1,1,4,Hankuk Party,7,1,2,1,2,-0.3,1,4,Male,Conservative-consistent,Conservative Media,Moderate,1,2.5,1,1,
82,272,1,1,4,Hankuk Party,6,5,6,2,4,0.2,1,3,Male,Conservative-consistent,Conservative Media,Moderate,4.33333333333333,3,3.875,2,
83,294,1,1,7,Hankuk Party,1,7,3,7,7,-0.3,1,4,Female,Conservative-consistent,Conservative Media,Conservative,1,4,1.5,0,0.8
84,297,1,1,6,Hankuk Party,2,2,5,7,6,0.3,1,4,Male,Conservative-consistent,Conservative Media,Conservative,1.66666666666667,1,2,-1,0.2
85,308,1,1,6,Hankuk Party,6,1,5,5,4,-0.2,1,3,Male,Conservative-consistent,Conservative Media,Conservative,1.66666666666667,5.5,2.75,-1,0.7
86,333,1,1,5,Hankuk Party,2,4,4,7,3,-0.3,1,4,Male,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,5,3.375,-4,0.8
87,369,1,1,4,Hankuk Party,6,1,2,7,7,-0.3,4,4,Female,Conservative-consistent,Conservative Media,Moderate,1,7,1,0,
88,378,1,1,4,Hankuk Party,4,4,4,7,4,0,1,4,Male,Conservative-consistent,Conservative Media,Moderate,1,4,1.125,-3,
89,382,1,1,6,Hankuk Party,3,2,3,3,3,-0.1,1,3,Male,Conservative-consistent,Conservative Media,Conservative,1.66666666666667,1.5,2.25,0,0.6
90,412,1,1,6,Hankuk Party,6,2,5,7,5,-0.3,3,5,Female,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,4.5,1.875,-2,0.8
91,461,1,1,3,Hankuk Party,6,6,4,5,4,0,3,4,Female,Conservative-consistent,Conservative Media,Liberal,3.33333333333333,4.5,2,-1,0.5
92,482,1,1,5,Hankuk Party,2,2,7,7,7,0,3,5,Female,Conservative-consistent,Conservative Media,Conservative,1,1,2.625,0,0.5
93,484,1,1,5,Hankuk Party,4,4,4,5,3,0,3,4,Male,Conservative-consistent,Conservative Media,Conservative,2.33333333333333,2,3.75,-2,0.5
94,499,1,1,5,Hankuk Party,4,4,2,7,6,-0.4,1,4,Female,Conservative-consistent,Conservative Media,Conservative,1,2.5,2.125,-1,0.9
95,525,1,1,4,Hankuk Party,5,4,4,4,4,0.1,3,4,Female,Conservative-consistent,Conservative Media,Moderate,3,5,3.5,0,
96,569,1,1,5,Hankuk Party,7,6,4,7,5,0.2,1,4,Female,Conservative-consistent,Conservative Media,Conservative,1.66666666666667,5.5,2.875,-2,0.3
97,587,1,1,3,Hankuk Party,3,3,3,3,3,-0.1,1,4,Female,Conservative-consistent,Conservative Media,Liberal,3.66666666666667,3,3.5,0,0.4
98,665,1,1,4,Hankuk Party,6,2,4,6,6,0.2,2,5,Female,Conservative-consistent,Conservative Media,Moderate,1,7,2.125,0,
99,711,1,1,4,Independent,7,4,4,7,5,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,1,7,1.125,-2,
100,714,1,1,4,Independent,4,4,5,7,7,-0.1,3,4,Female,Conservative-consistent,Conservative Media,Moderate,5,4.5,4,0,
101,716,1,1,3,Independent,7,3,1,2,1,0.5,3,4,Female,Conservative-consistent,Conservative Media,Liberal,4.66666666666667,5.5,1,-1,1
102,717,1,1,4,Independent,3,3,3,4,4,-0.1,3,3,Female,Conservative-consistent,Conservative Media,Moderate,3.33333333333333,4,3,0,
103,719,1,1,2,Minju Party,4,4,4,3,4,0,3,5,Male,Conservative-consistent,Conservative Media,Liberal,5,5,4.5,1,0.5
104,720,1,1,4,Independent,3,3,2,3,3,-0.3,3,4,Female,Conservative-consistent,Conservative Media,Moderate,2,4.5,2.75,0,
105,721,1,1,4,Independent,5,4,4,3,4,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,3.66666666666667,4,3.875,1,
106,722,1,1,4,Independent,6,2,4,3,3,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,4,4.5,2,0,
107,723,1,1,3,Minju Party,6,4,2,2,3,0.3,3,3,Male,Conservative-consistent,Conservative Media,Liberal,5,4.5,2.25,1,0.8
108,724,1,1,4,Independent,4,4,4,4,4,0,1,3,Female,Conservative-consistent,Conservative Media,Moderate,4,4,4,0,
109,725,1,1,4,Independent,3,3,2,6,2,-0.4,1,4,Female,Conservative-consistent,Conservative Media,Moderate,2,4,3.75,-4,
110,726,1,1,4,Independent,4,4,4,4,4,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,3,3.5,3.25,0,
111,728,1,1,3,Minju Party,5,4,4,3,3,0.1,2,4,Female,Conservative-consistent,Conservative Media,Liberal,4,4.5,2.5,0,0.6
112,733,1,1,3,Minju Party,7,6,2,1,2,0.5,4,4,Female,Conservative-consistent,Conservative Media,Liberal,2.33333333333333,7,2.5,1,1
113,739,1,1,5,Minju Party,7,5,3,5,4,0.3,4,4,Female,Conservative-consistent,Conservative Media,Conservative,2.66666666666667,5,1.25,-1,0.2
114,747,1,1,2,Minju Party,7,4,1,1,1,0.5,1,4,Female,Conservative-consistent,Conservative Media,Liberal,5.33333333333333,6.5,1,0,1
115,750,1,1,4,Minju Party,2,2,4,3,4,0,1,4,Female,Conservative-consistent,Conservative Media,Moderate,5,5,2,1,
116,760,1,1,4,Minju Party,6,2,3,3,3,0.3,1,4,Male,Conservative-consistent,Conservative Media,Moderate,3,4.5,2.125,0,
117,782,1,1,6,Hankuk Party,6,1,3,6,5,-0.1,4,4,Male,Conservative-consistent,Conservative Media,Conservative,1,6.5,1.375,-1,0.6
118,793,1,1,2,Minju Party,7,6,1,1,1,0.4,4,4,Female,Conservative-consistent,Conservative Media,Liberal,4.66666666666667,6,1,0,0.9
119,800,1,1,2,Minju Party,2,2,4,6,5,0,1,4,Male,Conservative-consistent,Conservative Media,Liberal,2,5,1.75,-1,0.5
120,801,1,1,2,Minju Party,7,4,5,2,1,0,4,4,Female,Conservative-consistent,Conservative Media,Liberal,3.66666666666667,5,2.625,-1,0.5
121,804,1,1,4,Minju Party,6,2,5,3,2,0,3,5,Male,Conservative-consistent,Conservative Media,Moderate,4.33333333333333,4.5,2.125,-1,
122,862,1,1,6,Hankuk Party,6,3,2,7,6,-0.2,5,5,Female,Conservative-consistent,Conservative Media,Conservative,1.66666666666667,6.5,2.5,-1,0.7
123,864,1,1,6,Hankuk Party,4,1,4,6,6,0,5,5,Male,Conservative-consistent,Conservative Media,Conservative,1,3.5,1.75,0,0.5
124,868,1,1,4,Hankuk Party,4,4,3,7,5,0,1,4,Male,Conservative-consistent,Conservative Media,Moderate,1,5,1.75,-2,
125,869,1,1,4,Hankuk Party,4,1,4,7,5,0,5,5,Female,Conservative-consistent,Conservative Media,Moderate,1,7,1.25,-2,
126,879,1,1,6,Hankuk Party,5,4,6,7,6,0.4,5,3,Male,Conservative-consistent,Conservative Media,Conservative,1,4,1,-1,0.1
127,894,1,1,5,Hankuk Party,3,5,4,7,4,0,1,4,Male,Conservative-consistent,Conservative Media,Conservative,1,2,3.875,-3,0.5
128,904,1,1,6,Hankuk Party,5,1,6,7,7,0.1,5,4,Male,Conservative-consistent,Conservative Media,Conservative,1,1,5,0,0.4
129,918,1,1,6,Hankuk Party,4,1,6,6,6,0.3,5,4,Male,Conservative-consistent,Conservative Media,Conservative,1,1,2.875,0,0.2
130,935,1,1,4,Hankuk Party,5,2,5,7,7,0.2,5,4,Male,Conservative-consistent,Conservative Media,Moderate,1,6,1.125,0,
131,938,1,1,4,Hankuk Party,5,3,6,7,6,0.1,5,4,Male,Conservative-consistent,Conservative Media,Moderate,1,7,1.625,-1,
132,941,1,1,6,Hankuk Party,5,2,4,6,6,-0.2,5,5,Male,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,4,3,0,0.7
133,1,2,2,4,Independent,6,5,5,5,5,0.1,4,2,Female,Conservative-consistent,Liberal Media,Moderate,1,6.5,3,0,
134,2,2,2,4,Minju Party,7,3,1,2,1,0.5,3,4,Female,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,5,1.375,-1,
135,4,2,2,4,Independent,4,4,2,4,3,0.3,5,3,Male,Conservative-consistent,Liberal Media,Moderate,2,3,4.625,-1,
136,5,2,2,4,Minju Party,7,4,5,2,1,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Moderate,5,4.5,3.875,-1,
137,6,2,2,4,Independent,4,2,5,5,5,-0.1,5,3,Female,Conservative-consistent,Liberal Media,Moderate,2,5,3.375,0,
138,7,2,2,5,Independent,4,2,4,5,4,-0.1,5,3,Male,Conservative-consistent,Liberal Media,Conservative,1.33333333333333,6.5,1.875,-1,0.6
139,8,2,2,2,Independent,7,1,3,6,3,-0.5,3,5,Male,Conservative-consistent,Liberal Media,Liberal,1.66666666666667,2.5,2.75,-3,0
140,9,2,2,5,Hankuk Party,5,4,4,6,5,0,5,4,Male,Conservative-consistent,Liberal Media,Conservative,1.33333333333333,5.5,3.875,-1,0.5
141,10,2,2,5,Independent,4,4,4,4,4,0,3,4,Female,Conservative-consistent,Liberal Media,Conservative,3.66666666666667,4,3.75,0,0.5
142,11,2,2,3,Minju Party,7,5,5,1,1,0,2,4,Female,Conservative-consistent,Liberal Media,Liberal,7,7,1,0,0.5
143,12,2,2,3,Minju Party,6,2,5,3,3,-0.1,3,4,Male,Conservative-consistent,Liberal Media,Liberal,4,4.5,3.125,0,0.4
144,13,2,2,5,Independent,5,4,4,3,3,0,4,4,Female,Conservative-consistent,Liberal Media,Conservative,3.33333333333333,5,3.25,0,0.5
145,14,2,2,4,Independent,4,1,1,7,7,-0.5,5,3,Female,Conservative-consistent,Liberal Media,Moderate,1,3.5,2.25,0,
146,15,2,2,2,Minju Party,5,4,3,1,1,0.3,3,4,Female,Conservative-consistent,Liberal Media,Liberal,4,5.5,2,0,0.8
147,16,2,2,1,Minju Party,7,3,3,1,1,0.5,3,3,Female,Conservative-consistent,Liberal Media,Liberal,7,5,1,0,1
148,17,2,2,2,Independent,4,4,1,5,4,-0.4,5,5,Male,Conservative-consistent,Liberal Media,Liberal,1,1,1,-1,0.1
149,18,2,2,4,Minju Party,4,1,6,1,1,0,3,5,Male,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,4,4,0,
150,19,2,2,3,Independent,7,2,1,4,2,-0.2,3,4,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,5.5,1.75,-2,0.3
151,20,2,2,4,Independent,4,3,3,6,6,-0.1,5,5,Male,Conservative-consistent,Liberal Media,Moderate,2,2,2.625,0,
152,21,2,2,4,Minju Party,4,4,4,5,4,0,3,4,Male,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,4,3.875,-1,
153,23,2,2,5,Minju Party,4,3,1,1,1,0.5,3,4,Male,Conservative-consistent,Liberal Media,Conservative,6,6,1,0,0
154,24,2,2,3,Minju Party,5,4,4,3,2,-0.1,2,4,Male,Conservative-consistent,Liberal Media,Liberal,3.33333333333333,3.5,4,-1,0.4
155,25,2,2,4,Independent,6,4,4,4,3,-0.1,4,4,Female,Conservative-consistent,Liberal Media,Moderate,2.66666666666667,3.5,2.125,-1,
156,28,2,2,4,Minju Party,4,4,4,1,1,0,2,4,Male,Conservative-consistent,Liberal Media,Moderate,5.33333333333333,4.5,1.125,0,
157,29,2,2,4,Independent,7,2,6,3,2,0,5,4,Male,Conservative-consistent,Liberal Media,Moderate,4.33333333333333,4,1.625,-1,
158,30,2,2,4,Independent,6,2,5,7,6,-0.3,3,4,Female,Conservative-consistent,Liberal Media,Moderate,3,4,2,-1,
159,31,2,2,4,Independent,6,1,5,7,7,0.3,5,4,Male,Conservative-consistent,Liberal Media,Moderate,1,1.5,1,0,
160,32,2,2,4,Minju Party,5,4,5,6,4,0.1,4,3,Female,Conservative-consistent,Liberal Media,Moderate,2.66666666666667,7,3.75,-2,
161,33,2,2,4,Independent,7,7,5,5,5,0.1,3,4,Female,Conservative-consistent,Liberal Media,Moderate,4,4,3.875,0,
162,34,2,2,6,Independent,6,4,3,6,5,0.3,5,4,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,6.5,1.625,-1,0.2
163,36,2,2,4,Minju Party,7,4,6,1,1,0.2,3,4,Female,Conservative-consistent,Liberal Media,Moderate,7,5,1,0,
164,38,2,2,6,Hankuk Party,6,2,3,6,5,-0.1,5,4,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,4.5,1.375,-1,0.6
165,39,2,2,3,Minju Party,7,2,6,1,1,-0.3,4,4,Male,Conservative-consistent,Liberal Media,Liberal,4.66666666666667,5,3,0,0.2
166,41,2,2,5,Independent,6,1,4,7,6,0.1,4,4,Female,Conservative-consistent,Liberal Media,Conservative,1.33333333333333,5.5,2.5,-1,0.4
167,42,2,2,4,Independent,7,7,3,7,7,0.4,3,4,Male,Conservative-consistent,Liberal Media,Moderate,1,2.5,1.375,0,
168,43,2,2,4,Independent,4,4,4,4,4,0,2,3,Female,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,3.5,3.875,0,
169,46,2,2,3,Independent,5,4,4,2,2,0,3,4,Female,Conservative-consistent,Liberal Media,Liberal,3.33333333333333,3.5,3.125,0,0.5
170,47,2,2,6,Hankuk Party,2,4,5,7,6,0.2,5,4,Male,Conservative-consistent,Liberal Media,Conservative,1,3,2.5,-1,0.3
171,49,2,2,7,Hankuk Party,3,3,2,6,6,-0.3,5,4,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,4,3.125,0,0.8
172,50,2,2,4,Independent,7,3,3,3,2,-0.1,3,4,Female,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,3,1,-1,
173,52,2,2,2,Minju Party,7,2,5,2,1,-0.1,1,4,Female,Conservative-consistent,Liberal Media,Liberal,4.66666666666667,5,1.625,-1,0.4
174,55,2,2,3,Minju Party,7,4,6,1,1,0,3,4,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,4.5,2.625,0,0.5
175,56,2,2,4,Independent,4,5,4,5,5,0.1,5,4,Female,Conservative-consistent,Liberal Media,Moderate,3.33333333333333,4,5,0,
176,58,2,2,3,Independent,6,5,5,1,1,0,3,4,Male,Conservative-consistent,Liberal Media,Liberal,2,6,1.625,0,0.5
177,59,2,2,4,Independent,6,3,4,4,4,-0.1,3,4,Female,Conservative-consistent,Liberal Media,Moderate,2,3.5,1.875,0,
178,60,2,2,2,Minju Party,7,5,4,1,1,0,5,4,Female,Conservative-consistent,Liberal Media,Liberal,5.33333333333333,5.5,1.125,0,0.5
179,61,2,2,4,Independent,3,3,3,4,3,-0.2,3,4,Male,Conservative-consistent,Liberal Media,Moderate,2,3.5,2.875,-1,
180,63,2,2,4,Independent,6,5,4,6,5,-0.2,3,4,Male,Conservative-consistent,Liberal Media,Moderate,2.33333333333333,5.5,3.375,-1,
181,66,2,2,4,Independent,5,4,4,3,3,-0.1,1,4,Female,Conservative-consistent,Liberal Media,Moderate,4,2,3.375,0,
182,68,2,2,4,Independent,5,3,4,6,5,-0.3,4,4,Female,Conservative-consistent,Liberal Media,Moderate,2.66666666666667,2,3,-1,
183,69,2,2,3,Independent,7,2,2,4,2,-0.3,4,3,Male,Conservative-consistent,Liberal Media,Liberal,3.66666666666667,5,3.5,-2,0.2
184,74,2,2,7,Minju Party,7,7,7,1,1,0,5,5,Female,Conservative-consistent,Liberal Media,Conservative,4.66666666666667,6.5,1,0,0.5
185,77,2,2,4,Minju Party,7,2,6,1,1,-0.5,4,4,Female,Conservative-consistent,Liberal Media,Moderate,4.66666666666667,7,5,0,
186,79,2,2,4,Minju Party,4,3,4,4,4,0.1,2,4,Male,Conservative-consistent,Liberal Media,Moderate,4.33333333333333,4.5,4.25,0,
187,82,2,2,5,Hankuk Party,3,3,3,7,5,-0.2,1,3,Male,Conservative-consistent,Liberal Media,Conservative,1,6.5,1.625,-2,0.7
