duration_in_seconds,media_slant,nfc,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,bias_1,bias_2,confident,encouraged,angry,annoyed,page_submit_duration,partisanship,ideology,nfc_code,gender,age,education,income,involvement,gen_knowledge,media_trust,agree_diff,belief_diff,bias,hmp_score,certainty_agree,certainty_belief,nfc_code_correct
434,MSNBC,Low,7,1,7,1,7,6,6,6,4,4,4,4,51.765,Republican,1,2,2,5,4,10,3.5,4,1,0,-1,0,0.5,1,1,1
531,MSNBC,Low,6,1,6,2,6,6,6,6,6,7,1,1,51.384,Democrat,6,2,1,7,5,6,2,4,5.8,0,0,0,0.5,1,1,1
524,MSNBC,Low,7,1,6,1,5,6,2,4,5,5,2,2,61.83,Republican,2,2,1,4,3,4,3.5,5,1,-2,0,-0.3,0.8,1,1,1
517,FOX,High,6,2,6,2,6,5,8,8,1,1,1,1,55.123,Democrat,6,2,2,3,5,8,3.5,5,3.6,0,-1,0.2,0.7,1,1,1
438,MSNBC,High,5,2,6,2,3,3,6,5,2,2,1,5,85.714,Democrat,6,2,1,4,2,2,2,4,3,-2,-3,-0.05,0.45,1,1,1
410,MSNBC,High,5,3,4,1,5,4,1,1,1,1,5,7,51.423,Republican,1,2,1,4,5,2,3.5,5,2,0,0,-0.5,1,0,1,1
421,MSNBC,High,7,1,7,1,2,2,11,6,5,1,4,4,85.152,Republican,1,2,2,5,5,12,3.5,5,3,-5,-5,0.25,0.25,1,1,1
578,MSNBC,High,7,2,6,2,6,5,6,6,5,6,1,1,80.326,Democrat,7,2,1,3,5,5,4.5,4,5.6,-1,-1,0,0.5,1,1,1
653,Reuter,High,3,2,3,3,1,1,8,7,5,2,4,5,78.691,Democrat,6,2,2,4,3,7,2,5,2.4,-2,-2,0.15,0.65,1,0,1
386,Reuter,High,3,2,6,3,6,5,11,8,7,4,6,7,128.578,Republican,1,2,1,3,5,10,3.5,3,4.2,3,-1,0.35,0.15000000000000002,1,0,1
498,Reuter,Low,6,2,6,2,6,6,2,2,3,2,6,6,51.81,Republican,3,2,1,7,3,5,4,5,2.8,0,0,-0.4,0.9,1,1,1
540,FOX,Low,7,1,6,1,7,6,11,11,1,1,5,6,58.784,Democrat,6,2,2,6,6,11,3,4,4.2,0,0,0.5,1,1,1,1
649,Reuter,Low,6,2,6,2,6,6,3,4,3,2,6,6,50.901,Republican,2,2,2,6,2,3,2,4,NA,0,0,-0.25,0.75,1,1,1
356,FOX,High,7,1,6,1,6,6,10,10,2,2,4,5,52.016,Democrat,6,2,1,6,3,3,3.5,5,5,-1,0,0.4,0.9,1,1,1
521,Reuter,Low,6,2,6,2,5,1,9,8,5,5,4,4,86.194,Democrat,6,2,1,3,5,7,3,5,5.2,-1,-5,0.25,0.75,1,1,1
365,MSNBC,Low,6,1,6,1,3,3,6,6,3,3,4,3,59.393,Democrat,7,2,1,4,6,11,4,5,3.6,-3,-3,0,0.5,1,1,1
380,FOX,High,7,1,7,1,6,6,6,6,3,3,1,1,53.562,Republican,1,2,2,7,3,6,5,5,1.6,-1,-1,0,0.5,1,1,1
422,MSNBC,High,2,2,5,3,3,6,1,1,1,1,5,7,55.115,Republican,2,2,1,4,5,6,3,4,1.6,1,1,-0.5,1,1,0,1
630,FOX,Low,6,1,6,1,2,2,6,6,6,7,1,1,52.55,Republican,2,2,2,5,5,4,3,5,5,-4,-4,0,0.5,1,1,1
421,MSNBC,Low,6,1,6,1,6,6,1,1,1,1,7,7,89.679,Republican,1,2,2,5,5,9,4.5,5,1,0,0,-0.5,1,1,1,1
485,Reuter,Low,7,1,7,1,6,6,2,2,3,2,4,4,52.558,Republican,1,2,2,6,6,11,4,5,2.2,-1,-1,-0.4,0.9,1,1,1
786,Reuter,Low,7,1,7,2,7,6,2,2,1,1,4,6,53.523,Republican,2,2,2,6,2,6,4.5,5,1,0,-1,-0.4,0.9,1,1,1
435,FOX,High,6,2,6,2,5,5,8,11,2,1,5,5,74.522,Democrat,6,2,1,4,5,2,2,5,6,-1,-1,0.35,0.85,1,1,1
453,Reuter,High,6,1,6,2,3,3,6,6,3,4,5,5,61.681,Democrat,5,2,1,3,1,1,2,5,6,-3,-3,0,0.5,1,1,1
611,FOX,Low,5,3,5,8,1,1,1,1,6,4,1,1,144.346,Republican,3,2,2,6,5,7,4,5,3,-4,-4,-0.5,1,0,0,1
838,FOX,Low,6,3,5,2,3,2,6,6,5,6,3,2,90.165,Republican,2,2,2,4,5,11,3,5,2.6,-3,-3,0,0.5,0,1,1
516,MSNBC,High,1,1,1,1,1,2,6,6,5,4,1,1,55.51,Democrat,5,2,1,4,3,4,4,5,1.6,0,1,0,0.5,1,1,1
732,Reuter,High,7,1,7,1,7,7,1,1,1,1,7,7,116.45,Republican,2,1,2,7,5,10,4,5,2,0,0,-0.5,1,1,1,0
342,Reuter,High,6,3,6,3,5,5,6,6,6,6,1,1,51.243,Democrat,6,2,1,4,6,4,5,5,5.8,-1,-1,0,0.5,0,0,1
744,FOX,High,3,3,3,2,2,5,4,6,2,1,5,4,74.206,Republican,2,2,1,3,5,6,3.5,4,1.8,-1,2,-0.1,0.6,0,1,1
458,FOX,High,7,1,7,1,7,7,1,1,1,1,1,1,66.383,Republican,2,2,1,4,6,12,3,5,2,0,0,-0.5,1,1,1,1
402,MSNBC,Low,6,2,7,2,7,7,1,2,1,1,4,7,100.693,Republican,3,2,2,3,5,11,3,4,1,1,0,-0.45,0.95,1,1,1
506,Reuter,High,6,1,6,1,4,3,1,6,3,3,4,4,105.929,Republican,3,2,2,3,5,7,3,5,2.4,-2,-3,-0.25,0.75,1,1,1
423,MSNBC,High,5,2,5,2,3,3,9,11,3,3,5,5,71.19,Democrat,4,2,1,5,5,9,2,5,3.4,-2,-2,0.4,0.9,1,1,1
497,FOX,Low,6,2,6,2,2,2,5,5,6,6,3,5,57.232,Republican,3,2,1,6,3,5,3.5,5,2.4,-4,-4,-0.1,0.6,1,1,1
490,FOX,High,7,1,7,1,7,7,6,6,2,3,3,2,53.418,Republican,2,2,1,5,6,7,4.5,5,1.8,0,0,0,0.5,1,1,1
885,MSNBC,Low,5,2,4,3,3,3,6,6,4,4,1,1,181.713,Democrat,5,2,2,4,2,7,1,4,3.6,-2,-1,0,0.5,1,0,1
420,FOX,Low,6,2,6,2,6,6,4,4,5,6,2,2,52.485,Democrat,5,2,2,3,5,6,3.5,4,6,0,0,-0.2,0.3,1,1,1
249,FOX,High,7,1,7,1,7,2,11,11,1,1,1,1,56.419,Democrat,4,2,2,5,5,4,3.5,4,3.6,0,-5,0.5,1,1,1,1
689,Reuter,Low,5,1,5,2,2,2,6,7,7,3,2,5,98.652,Democrat,5,2,1,4,4,1,4.5,5,3,-3,-3,0.05,0.55,1,1,1
846,Reuter,Low,6,2,6,1,2,2,6,6,7,7,1,1,52.714,Democrat,1,2,2,4,6,2,4,4,5,-4,-4,0,0.5,1,1,1
1015,Reuter,High,6,1,5,2,5,5,2,3,6,6,5,6,54.1,Democrat,2,2,2,3,5,5,4,3,4.4,-1,0,-0.35,0.15000000000000002,1,1,1
483,Reuter,High,7,1,7,1,7,7,1,1,1,1,7,7,82.16,Republican,1,2,1,3,2,5,4.5,5,1,0,0,-0.5,1,1,1,1
911,MSNBC,High,6,1,5,1,6,5,1,1,2,2,2,2,143.506,Republican,3,2,2,5,4,7,2,5,2.8,0,0,-0.5,1,1,1,1
737,FOX,High,6,2,6,2,2,1,11,11,2,1,5,6,90.968,Democrat,6,2,1,3,6,12,4,5,2.8,-4,-5,0.5,1,1,1,1
934,FOX,High,5,2,6,2,6,6,2,2,3,2,4,3,51.875,Democrat,6,2,1,4,4,3,4.5,4,3.6,1,0,-0.4,0.09999999999999998,1,1,1
481,MSNBC,Low,6,2,6,2,5,5,7,7,5,4,3,3,64.23,Democrat,6,2,1,3,3,8,2.5,5,3.2,-1,-1,0.1,0.6,1,1,1
336,MSNBC,Low,6,2,6,2,5,3,7,7,5,4,1,1,50.829,Democrat,7,2,1,3,4,8,2.5,4,5,-1,-3,0.1,0.6,1,1,1
510,FOX,High,5,2,5,2,6,6,7,3,5,4,4,4,57.165,Republican,4,2,2,4,5,11,3,5,2.2,1,1,-0.1,0.6,1,1,1
347,Reuter,Low,5,8,4,8,2,2,4,4,1,1,4,6,53.024,Republican,2,2,1,4,2,2,3.5,5,1.6,-3,-2,-0.2,0.7,0,0,1
1176,MSNBC,High,7,1,7,1,7,7,3,4,2,1,4,6,127.035,Republican,1,2,2,7,2,3,3.5,5,3.2,0,0,-0.25,0.75,1,1,1
1090,Reuter,Low,6,2,5,1,3,3,3,4,3,2,3,5,64.861,Republican,2,2,1,5,5,4,4,4,5.8,-3,-2,-0.25,0.75,1,1,1
1331,MSNBC,Low,5,2,5,2,6,5,9,7,6,5,7,5,84.991,Republican,4,2,2,3,5,8,4.5,3,5,1,0,0.2,0.30000000000000004,1,1,1
502,FOX,Low,7,1,7,1,3,3,6,6,2,2,2,2,55.903,Democrat,6,2,2,6,4,5,4,5,5,-4,-4,0,0.5,1,1,1
309,Reuter,High,4,2,4,3,4,4,6,6,1,1,1,1,66.713,Democrat,6,2,2,3,4,9,1.5,5,3.6,0,0,0,0.5,1,0,1
410,Reuter,High,2,1,2,1,1,1,6,6,5,5,7,7,71.432,Republican,2,2,2,6,5,9,3.5,5,5.2,-1,-1,0,0.5,1,1,1
360,MSNBC,High,7,1,6,1,3,3,6,6,7,7,1,1,62.573,Democrat,6,2,2,4,5,7,1,5,3.4,-4,-3,0,0.5,1,1,1
268,FOX,Low,5,3,6,1,2,4,6,10,4,7,7,4,68.738,Democrat,2,2,1,3,5,5,2.5,2,4.2,-3,-2,0.2,0.7,0,1,1
1433,FOX,Low,6,3,6,2,6,6,10,7,7,4,6,6,121.565,Democrat,6,2,1,3,5,7,4,3,3.4,0,0,0.25,0.75,0,1,1
253,Reuter,High,5,3,5,3,5,4,7,7,3,2,4,4,51.764,Democrat,7,2,2,4,5,6,3,5,2.2,0,-1,0.1,0.6,0,0,1
238,Reuter,Low,5,3,6,2,2,2,6,6,4,4,4,4,51.25,Democrat,6,2,1,3,5,4,1.5,3,4.4,-3,-4,0,0.5,0,1,1
806,FOX,Low,5,2,5,2,2,3,6,6,4,4,1,3,68.551,Republican,3,2,1,2,5,7,4,5,2.4,-3,-2,0,0.5,1,1,1
507,MSNBC,High,6,1,6,2,5,4,3,1,2,2,4,4,57.924,Republican,2,2,1,7,5,4,4,5,3.2,-1,-2,-0.4,0.9,1,1,1
630,MSNBC,Low,4,3,4,3,2,3,6,6,4,4,1,1,73.291,Democrat,6,2,1,4,5,8,3.5,5,2.2,-2,-1,0,0.5,0,0,1
278,Reuter,Low,6,3,6,2,2,2,6,6,7,4,1,1,53.567,Democrat,5,2,1,4,3,7,4,4,4,-4,-4,0,0.5,0,1,1
380,MSNBC,High,6,1,6,1,6,6,9,7,3,3,1,3,51.6,Democrat,6,2,1,6,3,7,3.5,5,3.2,0,0,0.2,0.7,1,1,1
399,FOX,Low,7,1,7,1,7,7,11,11,1,1,6,7,51.631,Democrat,7,1,2,7,2,4,3,3,3,0,0,0.5,1,1,1,0
477,FOX,Low,5,1,5,1,5,7,4,4,1,1,6,7,54.657,Republican,3,2,1,4,5,11,3.5,5,1.4,0,2,-0.2,0.7,1,1,1
432,FOX,High,7,1,7,1,5,5,10,10,1,1,6,7,97.452,Democrat,6,2,2,3,4,4,2,3,3,-2,-2,0.4,0.9,1,1,1
518,Reuter,High,5,2,4,2,1,1,6,6,4,3,6,6,51.711,Democrat,4,4,2,6,4,5,2,4,3.6,-4,-3,0,0.5,1,1,0
326,FOX,Low,5,1,4,1,4,3,9,11,2,1,6,6,55.552,Democrat,6,2,2,5,5,5,4,4,4.8,-1,-1,0.4,0.9,1,1,1
540,FOX,High,5,2,5,2,3,2,11,11,1,1,7,7,56.421,Democrat,5,5,2,6,4,6,3,4,1.8,-2,-3,0.5,1,1,1,0
341,Reuter,High,7,1,6,1,7,6,1,1,1,1,4,4,51.59,Republican,2,2,1,6,6,1,5,5,1,0,0,-0.5,1,1,1,1
506,Reuter,Low,6,1,6,1,3,3,6,6,6,6,2,3,76.113,Democrat,6,2,1,5,2,2,4,5,6,-3,-3,0,0.5,1,1,1
709,FOX,High,3,2,3,2,2,2,7,7,4,4,4,4,85.026,Republican,3,2,2,4,6,11,3,5,5,-1,-1,0.1,0.4,1,1,1
616,MSNBC,Low,6,1,7,1,6,5,9,7,5,6,6,5,112,Democrat,2,2,2,4,5,6,5,2,5.6,0,-2,0.2,0.7,1,1,1
374,MSNBC,High,6,2,6,1,6,6,5,6,5,6,3,2,61.017,Democrat,6,2,1,3,5,7,2.5,3,4.2,0,0,-0.05,0.45,1,1,1
515,MSNBC,High,5,2,5,2,5,5,3,3,1,2,4,6,81.246,Republican,2,2,2,7,6,8,3,5,2,0,0,-0.3,0.8,1,1,1
306,MSNBC,Low,5,2,5,3,5,4,5,5,3,3,1,1,56.626,Republican,3,2,1,3,6,12,3.5,5,2,0,-1,-0.1,0.6,1,0,1
647,Reuter,Low,5,8,3,3,1,1,6,6,7,5,1,1,52.031,Republican,2,2,2,5,5,11,1.5,5,2.6,-4,-2,0,0.5,0,0,1
260,Reuter,High,5,3,5,8,1,3,6,6,6,3,4,4,51.148,Democrat,5,2,2,3,4,4,1,4,1,-4,-2,0,0.5,0,0,1
346,Reuter,High,6,1,6,1,5,5,6,6,5,4,3,4,57.734,Democrat,7,2,1,6,5,4,3.5,5,5.4,-1,-1,0,0.5,1,1,1
463,FOX,Low,7,1,7,1,6,6,1,1,4,4,3,5,74.309,Republican,2,2,1,3,5,5,4,5,1.8,-1,-1,-0.5,1,1,1,1
370,FOX,Low,6,2,6,2,6,6,11,11,1,1,7,7,68.374,Democrat,6,2,1,4,5,5,4,5,4.6,0,0,0.5,1,1,1,1
586,MSNBC,Low,6,1,6,2,6,5,6,6,5,5,1,2,90.154,Democrat,6,2,1,7,6,6,3,5,3.6,0,-1,0,0.5,1,1,1
693,Reuter,High,7,1,7,1,7,7,5,6,6,1,1,2,52.738,Republican,3,2,1,4,3,3,3,5,1,0,0,-0.05,0.55,1,1,1
400,FOX,High,7,1,6,1,3,3,6,6,6,5,1,1,71.724,Republican,2,2,1,5,2,5,2.5,5,2.6,-4,-3,0,0.5,1,1,1
569,MSNBC,High,3,2,5,2,2,3,6,6,7,4,1,1,72.094,Democrat,7,2,2,4,3,3,2.5,5,5.6,-1,-2,0,0.5,1,1,1
742,Reuter,Low,5,2,6,2,2,2,7,7,3,3,5,6,116.549,Democrat,6,2,2,4,5,6,3,5,3,-3,-4,0.1,0.6,1,1,1
316,FOX,High,5,2,4,3,5,5,11,11,4,4,2,2,52.469,Democrat,7,2,2,3,5,3,2,5,2,0,1,0.5,1,1,0,1
290,Reuter,High,5,2,5,2,4,3,5,5,4,4,4,4,79.271,Republican,2,2,1,5,6,8,2.5,5,2.2,-1,-2,-0.1,0.6,1,1,1
269,FOX,High,4,8,2,2,1,1,6,6,4,4,4,4,68.634,Democrat,4,2,1,3,5,8,3,4,2,-3,-1,0,0.5,0,1,1
323,MSNBC,Low,6,2,6,2,6,6,1,1,4,2,6,7,52.176,Republican,2,2,1,4,2,2,4,5,2,0,0,-0.5,1,1,1,1
376,MSNBC,Low,6,3,6,2,5,5,10,10,3,3,4,6,55.146,Democrat,6,2,2,5,3,3,4,4,3,-1,-1,0.4,0.9,0,1,1
395,Reuter,Low,5,3,6,2,2,1,6,6,3,2,5,7,86.952,Democrat,7,2,2,6,7,12,3.5,5,5.6,-3,-5,0,0.5,0,1,1
318,MSNBC,High,6,1,7,1,6,7,9,9,2,2,4,6,53.997,Republican,2,2,1,6,2,3,5,5,2,0,0,0.3,0.19999999999999996,1,1,1
374,Reuter,Low,6,1,7,1,4,3,4,4,7,7,1,1,52.837,Republican,2,2,1,5,5,6,5,5,1,-2,-4,-0.2,0.7,1,1,1
345,MSNBC,High,6,3,6,3,5,5,6,6,5,5,3,3,71.998,Democrat,6,2,2,3,5,6,4,4,1.8,-1,-1,0,0.5,0,0,1
389,MSNBC,Low,5,2,6,2,3,5,6,6,6,6,1,1,51.394,Democrat,7,2,2,3,4,5,2.5,5,5,-2,-1,0,0.5,1,1,1
295,Reuter,Low,6,2,6,1,3,3,6,6,6,4,1,2,51.637,Democrat,6,2,2,4,5,11,3,5,6,-3,-3,0,0.5,1,1,1
468,Reuter,High,6,1,6,1,5,4,7,7,5,5,2,1,54.885,Democrat,7,2,2,5,2,2,3,5,5.2,-1,-2,0.1,0.6,1,1,1
467,FOX,High,3,2,4,2,3,2,6,6,6,6,5,5,51.25,Republican,3,2,1,3,4,4,3.5,5,3.4,0,-2,0,0.5,1,1,1
454,Reuter,High,5,3,3,2,3,1,4,7,3,3,5,5,56.079,Democrat,5,2,2,3,5,10,3.5,5,3.6,-2,-2,-0.05,0.45,0,1,1
384,MSNBC,High,6,2,5,2,5,5,8,7,5,5,1,2,52.738,Republican,2,2,2,5,4,5,2,2,2,-1,0,0.15,0.35,1,1,1
312,MSNBC,Low,2,1,2,1,2,2,6,6,5,4,1,1,52.217,Democrat,7,2,1,4,6,2,1,4,2.2,0,0,0,0.5,1,1,1
414,FOX,Low,7,1,6,1,7,6,1,1,6,4,5,6,62.299,Republican,2,2,2,6,6,5,4,5,1,0,0,-0.5,1,1,1,1
403,FOX,High,7,1,5,1,7,7,1,1,1,1,7,7,51.693,Republican,3,2,1,4,6,5,3.5,5,1,0,2,-0.5,1,1,1,1
430,Reuter,Low,6,2,6,2,6,6,6,6,5,4,4,5,56.244,Democrat,6,2,1,4,5,9,3.5,5,5.6,0,0,0,0.5,1,1,1
338,Reuter,High,5,3,5,3,3,2,6,6,6,6,2,2,86.42,Democrat,6,2,1,3,3,4,2,5,4.6,-2,-3,0,0.5,0,0,1
502,FOX,High,7,1,7,1,6,6,11,11,3,2,1,4,96.584,Democrat,5,6,1,5,2,2,3,5,3.6,-1,-1,0.5,1,1,1,0
538,FOX,Low,6,2,6,2,6,6,2,2,6,6,3,4,72.414,Democrat,6,4,1,5,5,3,5,3,4.6,0,0,-0.4,0.09999999999999998,1,1,0
540,MSNBC,High,4,3,4,3,4,4,6,6,4,4,4,4,51.855,Democrat,7,2,2,3,5,4,3,5,4,0,0,0,0.5,0,0,1
456,FOX,Low,6,2,6,2,6,6,8,7,2,2,4,2,85.071,Democrat,7,2,1,3,5,6,2,5,6,0,0,0.15,0.65,1,1,1
399,MSNBC,Low,2,3,4,2,5,4,1,1,1,2,6,7,57.482,Republican,2,2,2,4,5,10,3,5,2.4,3,0,-0.5,1,0,1,1
394,Reuter,Low,5,3,5,3,3,3,6,6,6,6,3,4,60.273,Republican,4,2,2,3,5,7,2,5,3,-2,-2,0,0.5,0,0,1
438,Reuter,High,6,2,6,2,6,6,9,7,5,6,6,5,163.371,Republican,2,2,2,3,4,4,4.5,5,2.4,0,0,0.2,0.30000000000000004,1,1,1
386,MSNBC,High,6,1,6,1,5,5,3,3,3,3,6,6,57.963,Republican,3,2,1,3,5,5,2.5,5,3.2,-1,-1,-0.3,0.8,1,1,1
510,FOX,Low,7,1,6,1,6,6,3,3,6,4,6,6,53.261,Republican,2,2,2,6,4,2,5,5,1,-1,0,-0.3,0.8,1,1,1
392,FOX,High,7,1,7,1,7,7,1,1,1,1,5,7,59.197,Republican,1,2,2,4,5,11,4,3,1,0,0,-0.5,1,1,1,1
651,FOX,Low,5,2,5,2,2,2,8,11,5,4,2,2,114.002,Democrat,5,2,2,4,4,5,2.5,4,5.2,-3,-3,0.35,0.85,1,1,1
669,MSNBC,Low,2,1,3,1,1,2,6,6,3,5,3,3,51.489,Democrat,6,2,1,3,2,2,3,5,2.2,-1,-1,0,0.5,1,1,1
343,FOX,Low,7,1,6,1,6,6,11,11,1,1,4,5,56.608,Democrat,7,2,2,5,5,2,1.5,5,3.8,-1,0,0.5,1,1,1,1
516,FOX,Low,6,1,6,1,7,7,6,6,7,6,2,2,52.344,Republican,2,2,1,3,5,6,4.5,4,6.2,1,1,0,0.5,1,1,1
555,MSNBC,High,7,1,7,1,5,5,7,7,4,4,4,5,94.801,Democrat,7,2,1,6,5,3,2.5,5,6.4,-2,-2,0.1,0.6,1,1,1
652,FOX,High,6,1,6,2,6,6,11,11,6,6,1,1,51.866,Democrat,6,2,2,5,5,11,3.5,5,4.6,0,0,0.5,1,1,1,1
593,Reuter,Low,6,2,7,2,3,4,6,6,4,3,4,3,124.568,Democrat,6,2,2,3,5,7,2.5,4,5,-3,-3,0,0.5,1,1,1
336,MSNBC,Low,5,3,6,3,2,2,6,6,5,4,1,3,66.082,Democrat,6,2,2,3,3,4,2,5,5.4,-3,-4,0,0.5,0,0,1
752,FOX,High,6,1,6,1,5,6,1,3,5,4,1,1,244.206,Democrat,6,2,1,4,4,5,3,5,4.6,-1,0,-0.4,0.09999999999999998,1,1,1
290,Reuter,High,5,2,5,2,3,2,6,6,3,3,6,6,68.576,Democrat,6,2,2,4,5,12,3,5,2,-2,-3,0,0.5,1,1,1
437,MSNBC,High,5,2,5,2,3,3,6,6,6,6,4,5,66.147,Democrat,5,2,2,3,2,2,2,2,4.2,-2,-2,0,0.5,1,1,1
390,Reuter,High,6,1,6,2,5,5,4,2,3,4,2,5,51.276,Republican,3,2,1,5,5,4,3,5,1.2,-1,-1,-0.3,0.8,1,1,1
406,MSNBC,High,7,1,7,1,7,7,1,1,1,1,1,7,75.325,Republican,3,2,1,5,3,5,2,5,1,0,0,-0.5,1,1,1,1
443,MSNBC,Low,5,2,5,2,6,6,1,1,1,1,6,6,57.387,Republican,3,1,1,4,4,7,3,5,1.4,1,1,-0.5,1,1,1,0
578,Reuter,Low,7,1,6,1,7,7,2,2,2,2,4,6,54.044,Republican,2,2,1,6,6,12,5,5,2,0,1,-0.4,0.9,1,1,1
555,Reuter,Low,3,2,6,2,5,6,6,6,5,5,1,1,59.154,Republican,2,2,2,6,2,4,3,5,4.6,2,0,0,0.5,1,1,1
922,MSNBC,High,6,1,5,8,6,6,9,6,6,5,4,5,112.072,Democrat,2,2,2,3,5,1,3,2,4.6,0,1,0.15,0.65,1,0,1
339,FOX,Low,6,1,7,1,7,7,6,6,1,1,1,7,56.711,Republican,2,2,1,3,5,6,4.5,5,1,1,0,0,0.5,1,1,1
392,FOX,High,5,2,5,2,3,3,5,5,5,5,2,2,63.28,Republican,4,2,1,4,5,10,3,5,5,-2,-2,-0.1,0.6,1,1,1
837,Reuter,High,7,1,7,1,7,7,1,1,7,3,7,7,260.085,Republican,1,5,2,8,3,4,4.5,5,2.4,0,0,-0.5,1,1,1,0
666,MSNBC,Low,5,1,5,1,5,5,2,2,2,3,4,5,54.783,Republican,2,2,1,5,5,12,4,5,2,0,0,-0.4,0.9,1,1,1
494,MSNBC,High,6,1,7,1,6,2,11,11,1,1,4,4,92.305,Republican,2,2,1,5,2,3,2,4,3.6,0,-5,0.5,0,1,1,1
711,MSNBC,Low,5,2,6,2,6,6,3,2,4,4,1,1,128.193,Republican,3,2,1,4,5,8,4,5,2.2,1,0,-0.35,0.85,1,1,1
403,FOX,High,7,1,7,1,7,7,1,1,7,7,7,7,62.126,Democrat,7,2,2,3,5,8,4,2,6.6,0,0,-0.5,0,1,1,1
593,FOX,Low,5,2,6,2,3,3,3,4,5,5,2,3,72.082,Republican,2,2,2,5,4,6,3.5,5,2.4,-2,-3,-0.25,0.75,1,1,1
472,Reuter,Low,6,2,6,1,6,6,6,6,4,4,4,4,54.347,Democrat,7,2,2,5,4,8,4,5,5.8,0,0,0,0.5,1,1,1
438,MSNBC,High,6,1,6,2,5,5,9,9,2,2,1,4,51.243,Democrat,5,2,1,4,5,6,3,5,1,-1,-1,0.3,0.8,1,1,1
277,Reuter,Low,6,2,6,2,4,5,6,6,6,5,1,1,52.113,Democrat,7,2,2,3,2,3,2.5,5,4,-2,-1,0,0.5,1,1,1
361,FOX,Low,6,2,6,1,5,6,11,11,1,1,7,7,51.801,Democrat,7,2,2,5,2,4,5,5,4.4,-1,0,0.5,1,1,1,1
897,FOX,Low,7,1,7,2,5,5,5,5,5,4,2,2,207.725,Republican,2,2,2,6,2,5,3.5,5,1.8,-2,-2,-0.1,0.6,1,1,1
783,MSNBC,Low,5,2,5,2,5,5,5,7,2,2,3,3,61.94,Democrat,5,2,1,3,5,3,2,5,3,0,0,0,0.5,1,1,1
603,Reuter,High,7,1,7,2,7,6,11,9,7,6,5,7,53.073,Democrat,1,1,1,4,5,6,5,5,6.2,0,-1,0.4,0.9,1,1,0
476,FOX,High,6,1,6,2,2,2,11,11,1,1,1,1,111.324,Democrat,6,2,1,4,3,4,4,5,1.8,-4,-4,0.5,1,1,1,1
1062,Reuter,High,7,1,5,2,6,6,1,1,2,2,5,5,68.835,Republican,1,5,2,6,3,9,4.5,3,2.2,-1,1,-0.5,1,1,1,0
340,Reuter,Low,5,2,5,2,4,3,6,6,4,4,2,2,61.072,Republican,2,2,1,3,5,10,3.5,4,1.8,-1,-2,0,0.5,1,1,1
294,MSNBC,High,6,1,6,1,5,5,9,9,4,3,2,3,51.662,Democrat,6,2,2,4,5,12,4,5,5,-1,-1,0.3,0.8,1,1,1
546,FOX,Low,4,2,5,2,4,6,8,8,2,2,1,3,54.417,Democrat,6,2,1,4,4,5,3,5,3.6,0,1,0.2,0.7,1,1,1
437,MSNBC,Low,3,2,5,2,2,2,6,6,5,4,1,1,52.527,Republican,3,2,1,4,6,11,5,5,3.2,-1,-3,0,0.5,1,1,1
